0, The 3 R's of Recovery 
1, The protein-for-quick-recovery myth 
2,043: Ben Greenfield - Raising Children 2.0 Biohack A Healthy Home Cholesterol... Redefined via 
3,All About The Squat Precision Nutrition via 
4,Deconstructing the Deadlift T Nation 
5,Total Athletic Therapy: Mobility Monday: Hip Flossing Tweaks for Anterior Chain Muscle Stiffness via 
6,Reflections on Strength & Conditioning versus Sport Science Old Bull Fitness via 
7,How Much Muscle Can You Gain?  Men's Health: 
8,SuppVersity - Nutrition and Exercise Science for Everyone: Predictive Value of Equations to Calculate Your Re... 
9,Is Obesity a Choice? 
10," Adding nuts, coconut oil, avocado to already energy excessive diet will not = weight loss -you'll gain. Can't believe …"
11,All About Energy Balance Precision Nutrition via 
12,Gut Feelings: Eight Steps to Better Digestion 
13,"What is the optimal intake to maximize the anabolic response? 
"
14, Live in a red state?U better b licensed to give nutrition advice or you're breaking da law!  
15, Great initiative by to highlight classic ex phys papers. Saltin's first of ~450 pubs fits the bill! 
16,Had a great time at in Austin. Thank you to all the speakers and those who made the weekend happen. Looking forward to next year!
17, Older Americans Need Protein to Keep Muscles Strong 
18,Do the min amnt of training to improve performance.  You can always do more. Eat the most amnt of cals to change body comp. u can eat less
19, Athletes who sleep on average <8h per night have 1.7x risks of injury Recovery in sport is MAINLY about education ht…
20,Polyphenolic extracts may improve strength recovery & reduce soreness following eccentric exercise 
21,Protein helps stimulate protein synthesis and reduce protein breakdown.... So eat lots of it! The RDA isn't enough 
22," Dr. Bob Wolfe protein imp effect on MPB 4 max gain, 40g < effective than 70g 2 inhibit MPB, therefore ?? net ga…"
23," Protein balance = PRO synthesis + PRO breakdown. Higher PRO may not stim synth further, but reduces breakdown "
24, More evidence of the importance of 
25," What the scientific evidence tells us is, the debate between high load vs. high volume lifting (for the purposes... "
26,What are the physical demands of ?  
27, Great stuff here to Dr Mundinger “Fix Your Squeaky SI Joint” 
28," Sedentary Time in Late Childhood and Cardiometabolic Risk in Adolescence
 "
29, What Else Is In Your Supplement?  
30,Sweet n' Spicy Chicken Bowls - via 
31,Italian Wonderpot - via 
32, Happy Memorial Day and a Thank You to everyone who has served and continues to serve to keep our country free to... htt…
33, DHEA; The Most Underrated Supplement For Women? 
34, Friday Food: Healthy Southern “Fried” Chicken.  A great tasting and healthy alternative to the fast food... 
35, Eat the rainbow! Fill that plate with lots of fruits & veggies.... And then top it off with MEAT
36,Breakfast cereals are not a “healthy” alternative to fatty foods. They will not help with weight loss in kids 
37, NEW on iTunes: 'Dietary Nitrate & Exercise Performance' with on We Do Science Podcast h…
38, Lifting is primary way to increase muscle mass but often-overlooked: nutrition+nutrient timing ht…
39, Congrats Dr. Mike! Things are well here just getting ready for conference season. See ya in Orlando!
40,"What gets measured, gets accomplished.
 "
41, Gluten free is a big part of a lot of peoples lives these days and reap many benefits from it but can it help you... ht…
42, + Gelatin BEFORE stretching 5-10 minutes 3x/day to improve collagen synthesis for tendon/ligament injury reha…
43, Great talk by on nutritional strategies to improve ligament strength and repair. 
44,"Green tea extract, not the fat burning tool once thought: "
45,Health and fitness...it's not that hard. Don't over complicate things 
46,"Rizzo, you stud "
47,Total Athletic Therapy: Study Spotlight: Effects of Diet Composition on En... 
48,"SuppVersity - Nutrition and Exercise Science for Everyone: Betaine For Strength, Size & Endurance Gains: 2.5g... "
49, 
50,Gotta love raceday 
51," Long-term, short-term effects of on athletes and from "
52,"The relationship between quality protein, lean mass, & bone health "
53, Why almond milk is basically scam: via 
54,Total Athletic Therapy: Friday Food: Peanut Butter Chocolate Smoothie 
55,Dietary Intake of Competitive Bodybuilders. - PubMed - NCBI 
56,Is it the lowered glycemic index or inability to use chopsticks? 
57,Supplemental protein in support of muscle mass and health: advantage whey. - PubMed - NCBI 
58, Why your attachment to calories and macros might be setting you up for problems 
59, 28g of protein and 15g of carbs before bed helps you gain more muscle and get stronger with - check it out: 
60, NEW: Episode ‘Carbohydrate Availability & Training Adaptation’ with on the Podcast: …
61,Major CFB Schools Averaging $600K More on Nutrition - Athletic Business 
62,This is a great point! You get what you pay for... 
63, RD SSE In-Season Recovery Nutrition for American Football 
64,"SNR Dr. Yoni Freedhoff – Successful Weight Management, Childhood Nutrition & Why Diets Fail via "
65,What The Heck Is Tabata Training? - 
66, Creatine! It does the body good :-) 
67, Reactive Progression (Phase 3) in our Quick Feet Ball Skills Program. Using creative transitions of simple skills. Htt…
68,Struggling through the SFMA movement assessment hosted by 
69," You have a whole world inside of you.

A very large host of bacterial cells that outnumber your own… "
70, When we thinking of foam rolling and working out tight tissue a lot of times we never consider the abs and if we... htt…
71, Studies show that exercising just 10 minutes a day raises your risk of posting inspirational quotes by 60% 
72,Bouncing Back After Diet Slip-Ups via 
73,Why Your Diet Can Make You Bloated (Even With Good Nutrition) via 
74,Metabolic Weight Loss: The 5 Laws Of Metabolism via 
75,How to Design Better Warm Ups For Small Group Training Programs 
76, 10 Ways to Progress Inverted Rows: 
77, For players (and other who struggle with 
78, This... 
79," My bad, Ben and I will have a few for ya"
80, Saturday in La Crosse = Beer Fest. You are missing out!
81, Strength vs. endurance: Does exercise type matter in the fight against obesity?  Uh No 
82, How to Properly Rack a Kettlebell Onnit Academy 
83, New interesting study: ~1700IU of Vitamin D3/day failed to increase blood vitamin D levels in overweight adolescents: …
84,A great high snack for packing on or as a meal replacement 
85, Must read. The REAL deal with muscle building supplements 
86, An excellent text just finished: ’Writing Science: How to Write Papers That Get Cited & Proposals That Get Funded’ h…
87, “Supplemental protein in support of muscle mass and health: advantage whey” (via 
88," We have a paralympic athlete trying to go to the Endeavor games that needs $$$ to go, please help out or ! "
89,Effects of Dietary Composition on Energy Expenditure During Weight-Loss Maintenance 
90,"Buffered, better than Creatine Mono? "
91,How a Low FODMAP Diet Can Flatten Your Belly (And Change Your Life) - Part 2 
92, Another classic from Have a listen & see how we respond to dieting.  
93,What kind of activity tracker do you use? Is it accurate? 
94,The Movement Perfection Process via 
95, Three different ways to build your own home gym 
96," Simple, inexpensive, delish recipe idea!"
97,Advice to a Young Athlete Runner's World 
98, What?! What happened?
99,"Congrats to on a great performance at the today! 2:36, what a stud"
100, Girls avoiding weight training in case they “get too big” is like someone refuses to go jogging in case they become an O…
101, Consuming nothing post-workout results in nothing. It's a strategy with zero upside. Solution: consume a post-workout s…
102,Anyone has a reference for the Lohman equation to predict REE in athletes? The equation is (9 x wt) + (11.7xht) - 857 I saw it in a talk
103," Here's the science of kettlebells for aerobic fitness, strength, power, and transfer to athletic movements: "
104, Reaching Cable SLDL: via 
105, Ahead-of-Print: VO2max Measured with a Self-selected Work Rate Protocol on an Automated Treadmill.: Purpose: T... 
106, - How to Find a Job in Strength & Conditioning: via 
107, Sounds good! I'd be more than happy to help out
108, University of Wisconsin -La Crosse
109, Movement quality trumps strength and power.  
110, Cramping in Sports - Beyond Dehydration: Provided by 
111, Poor Shoulder Mobility Leads to Back Pain? 
112,Can You Out-Supplement a Bad Diet ?- 
113, Busy day for us at TAT. In preparation for our presentation at the Festival Foods Grandad Half Marathon we are... 
114, is to metabolic conditioning as “All you can eat buffets” are to “metabolic capacity training” 
115," “When you practice right you get better.” 
Doesn't get much simpler or accurate than that."
116,5 Things People Need to Stop Overthinking 
117, 
118,"Recap of the NSCA Upper North Central Regional Conference, in case you missed it: "
119,3 Portable Massage Tools 
120, An interesting review & clinical summary of vitamin D regarding bone health & athletic performance 
121, Why attend Speakers like 
122, Great functional hip stability session today with our pro players. 
123,SuppVersity - Nutrition and Exercise Science for Everyone: Metabolic Effects of Total Fasting Suggest: You Be... 
124, EPOC—The Secret to Fat Destruction / Elite FTS 
125,Total Athletic Therapy: Study Spotlight: 4 sets of 10 or 8 sets of 5? 
126, With the weather turning nice there is bound to be plenty of people out there dealing with some type of “shin... 
127,MLB trying to figure out stanozolol comeback 
